session,belt_speed,vfd_frequency,expected_speed,speed_deviation,temperature,current,items_count,maintenance_done_today,days_since_maintenance,interventions_30d,rul,alerts_today
35,0.574,35,0.56,0.014,53.9,2.05,28,0,5,2,80.0,0
36,0.608,40,0.64,-0.032,57.9,1.8,42,0,6,2,78.0,1
37,0.791,50,0.8,-0.009,61.0,2.05,29,0,7,2,76.0,1
38,0.822,50,0.8,0.022,55.3,2.05,49,0,8,2,74.0,0
39,0.641,40,0.64,0.001,61.5,1.56,40,0,9,2,72.0,0
40,0.778,50,0.8,-0.022,49.5,2.09,25,0,10,2,70.0,0
41,0.786,50,0.8,-0.014,48.2,2.05,45,0,11,2,68.0,2
42,0.814,50,0.8,0.014,54.8,2.24,38,0,12,2,66.0,0
43,0.785,50,0.8,-0.015,56.5,2.47,39,0,13,2,64.0,0
44,0.564,35,0.56,0.004,54.9,2.33,33,0,14,2,62.0,1
45,0.801,50,0.8,0.001,46.7,2.05,39,1,0,2,90.0,0
46,0.627,40,0.64,-0.013,54.6,1.88,41,0,1,2,88.0,0
47,0.843,50,0.8,0.043,49.8,2.61,49,0,2,2,86.0,0
48,0.813,50,0.8,0.013,57.7,2.11,48,0,3,2,84.0,2
49,0.759,50,0.8,-0.041,56.5,2.1,28,0,4,2,82.0,0
50,0.804,50,0.8,0.004,51.2,2.1,36,0,5,2,80.0,0
51,0.547,35,0.56,-0.013,52.9,2.14,29,0,6,2,78.0,0
52,0.657,40,0.64,0.017,50.8,2.07,29,0,7,2,76.0,0
53,0.544,35,0.56,-0.016,54.7,1.99,35,0,8,2,74.0,2
54,0.638,40,0.64,-0.002,58.8,1.99,30,0,9,2,72.0,2
55,0.81,50,0.8,0.01,51.1,2.09,31,0,10,2,70.0,1
56,0.577,35,0.56,0.017,57.0,1.99,48,0,11,2,68.0,2
57,0.776,50,0.8,-0.024,52.9,1.96,38,0,12,2,66.0,0
58,0.793,50,0.8,-0.007,51.8,2.12,48,0,13,2,64.0,1
59,0.791,50,0.8,-0.009,54.6,2.05,35,0,14,2,62.0,1
60,0.787,50,0.8,-0.013,50.9,2.4,37,1,0,2,90.0,1
61,0.835,50,0.8,0.035,52.8,1.57,26,0,1,2,88.0,0
62,0.808,50,0.8,0.008,50.2,2.32,49,0,2,2,86.0,2
63,0.615,40,0.64,-0.025,62.9,2.35,31,0,3,2,84.0,0
64,0.818,50,0.8,0.018,55.1,1.69,44,0,4,2,82.0,1
65,0.842,50,0.8,0.042,52.2,2.03,28,0,5,2,80.0,0
66,0.821,50,0.8,0.021,55.9,2.03,32,0,6,2,78.0,0
67,0.77,50,0.8,-0.03,54.6,1.82,44,0,7,2,76.0,2
68,0.63,40,0.64,-0.01,54.1,1.94,46,0,8,2,74.0,2
69,0.825,50,0.8,0.025,57.5,1.88,45,0,9,2,72.0,1
70,0.546,35,0.56,-0.014,58.0,2.45,43,0,10,2,70.0,0
71,0.649,40,0.64,0.009,52.9,2.29,37,0,11,2,68.0,0
72,0.815,50,0.8,0.015,52.7,2.35,38,0,12,2,66.0,2
73,0.781,50,0.8,-0.019,53.9,2.24,34,0,13,2,64.0,0
74,0.639,40,0.64,-0.001,45.8,1.87,35,0,14,2,62.0,0
75,0.575,40,0.64,-0.065,48.9,2.0,26,1,0,2,90.0,0
76,0.62,40,0.64,-0.02,60.5,2.2,49,0,1,2,88.0,0
77,0.635,40,0.64,-0.005,61.6,1.86,33,0,2,2,86.0,1
78,0.775,50,0.8,-0.025,54.0,2.24,41,0,3,2,84.0,1
79,0.833,50,0.8,0.033,57.3,2.05,27,0,4,2,82.0,0
80,0.771,50,0.8,-0.029,56.2,2.03,48,0,5,2,80.0,1
81,0.631,40,0.64,-0.009,67.3,2.24,30,0,6,2,78.0,2
82,0.643,40,0.64,0.003,59.5,2.19,29,0,7,2,76.0,2
83,0.829,50,0.8,0.029,54.5,2.03,29,0,8,2,74.0,1
84,0.771,50,0.8,-0.029,51.2,2.33,46,0,9,2,72.0,1
85,0.823,50,0.8,0.023,48.6,1.88,39,0,10,2,70.0,0
86,0.8,50,0.8,0.0,55.8,2.22,47,0,11,2,68.0,1
87,0.62,40,0.64,-0.02,52.0,2.22,41,0,12,2,66.0,0
88,0.649,40,0.64,0.009,49.3,2.04,33,0,13,2,64.0,0
89,0.644,40,0.64,0.004,52.4,2.17,27,0,14,2,62.0,2
90,0.788,50,0.8,-0.012,50.7,1.85,44,1,0,2,90.0,2
91,0.801,50,0.8,0.001,61.7,2.28,41,0,1,2,88.0,0
92,0.632,40,0.64,-0.008,58.5,2.06,34,0,2,2,86.0,2
93,0.642,40,0.64,0.002,55.0,2.0,27,0,3,2,84.0,1
94,0.813,50,0.8,0.013,60.9,2.31,42,0,4,2,82.0,2
95,0.672,40,0.64,0.032,55.3,1.96,42,0,5,2,80.0,1
96,0.775,50,0.8,-0.025,51.6,1.82,41,0,6,2,78.0,2
97,0.843,50,0.8,0.043,61.1,1.79,48,0,7,2,76.0,1
98,0.761,50,0.8,-0.039,57.2,2.22,27,0,8,2,74.0,0
99,0.797,50,0.8,-0.003,50.9,1.84,27,0,9,2,72.0,1
100,0.812,50,0.8,0.012,54.2,2.45,30,0,10,2,70.0,1
101,0.806,50,0.8,0.006,51.5,1.68,37,0,11,2,68.0,2
102,0.628,40,0.64,-0.012,49.5,2.44,48,0,12,2,66.0,1
103,0.796,50,0.8,-0.004,58.7,2.14,39,0,13,2,64.0,0
104,0.79,50,0.8,-0.01,62.6,2.08,49,0,14,2,62.0,0
105,0.548,35,0.56,-0.012,49.4,1.99,33,1,0,2,90.0,2
106,0.817,50,0.8,0.017,57.3,2.18,28,0,1,2,88.0,0
107,0.807,50,0.8,0.007,52.4,2.09,38,0,2,2,86.0,1
108,0.626,40,0.64,-0.014,53.1,2.32,29,0,3,2,84.0,0
109,0.818,50,0.8,0.018,52.6,2.12,26,0,4,2,82.0,2
110,0.806,50,0.8,0.006,51.5,2.13,35,0,5,2,80.0,1
111,0.816,50,0.8,0.016,55.2,2.03,33,0,6,2,78.0,2
112,0.813,50,0.8,0.013,51.7,2.09,48,0,7,2,76.0,1
113,0.543,35,0.56,-0.017,56.1,2.16,27,0,8,2,74.0,0
114,0.629,40,0.64,-0.011,54.8,1.76,33,0,9,2,72.0,2
115,0.655,40,0.64,0.015,54.0,1.83,27,0,10,2,70.0,2
116,0.652,40,0.64,0.012,51.4,2.25,49,0,11,2,68.0,1
117,0.64,40,0.64,-0.0,52.7,2.13,26,0,12,2,66.0,2
118,0.802,50,0.8,0.002,58.0,2.06,36,0,13,2,64.0,1
119,0.666,40,0.64,0.026,57.0,2.1,34,0,14,2,62.0,1
120,0.788,50,0.8,-0.012,51.1,2.17,33,1,0,2,90.0,1
121,0.651,40,0.64,0.011,55.4,1.99,39,0,1,2,88.0,0
122,0.636,40,0.64,-0.004,58.0,1.94,32,0,2,2,86.0,0
123,0.796,50,0.8,-0.004,48.3,2.14,49,0,3,2,84.0,1
124,0.822,50,0.8,0.022,57.2,1.9,29,0,4,2,82.0,2
125,0.817,50,0.8,0.017,52.3,2.18,35,0,5,2,80.0,0
126,0.816,50,0.8,0.016,57.3,1.76,26,0,6,2,78.0,2
127,0.666,40,0.64,0.026,51.9,2.31,48,0,7,2,76.0,0
128,0.64,40,0.64,0.0,47.8,2.19,39,0,8,2,74.0,1
129,0.814,50,0.8,0.014,48.5,2.15,30,0,9,2,72.0,0
130,0.794,50,0.8,-0.006,55.2,2.3,32,0,10,2,70.0,0
131,0.806,50,0.8,0.006,56.0,2.43,29,0,11,2,68.0,2
132,0.797,50,0.8,-0.003,51.4,2.3,40,0,12,2,66.0,2
133,0.802,50,0.8,0.002,57.6,1.73,42,0,13,2,64.0,1
134,0.812,50,0.8,0.012,48.4,1.84,30,0,14,2,62.0,0
135,0.544,35,0.56,-0.016,54.7,1.98,29,1,0,2,90.0,0
136,0.842,50,0.8,0.042,50.2,2.11,40,0,1,2,88.0,0
137,0.78,50,0.8,-0.02,52.4,2.2,37,0,2,2,86.0,1
138,0.616,40,0.64,-0.024,55.2,1.95,29,0,3,2,84.0,1
139,0.823,50,0.8,0.023,51.6,2.14,37,0,4,2,82.0,1
140,0.576,35,0.56,0.016,53.5,1.95,41,0,5,2,80.0,1
141,0.572,35,0.56,0.012,59.0,1.98,42,0,6,2,78.0,1
142,0.813,50,0.8,0.013,52.7,1.82,32,0,7,2,76.0,2
143,0.8,50,0.8,-0.0,58.3,1.92,37,0,8,2,74.0,0
144,0.782,50,0.8,-0.018,50.5,1.83,43,0,9,2,72.0,0
145,0.802,50,0.8,0.002,57.1,1.9,27,0,10,2,70.0,0
146,0.786,50,0.8,-0.014,60.8,2.31,48,0,11,2,68.0,0
147,0.66,40,0.64,0.02,45.1,1.91,32,0,12,2,66.0,0
148,0.797,50,0.8,-0.003,51.8,2.63,26,0,13,2,64.0,0
149,0.783,50,0.8,-0.017,57.3,2.2,32,0,14,2,62.0,0
150,0.794,50,0.8,-0.006,54.2,2.14,37,1,0,2,90.0,0
151,0.568,35,0.56,0.008,56.5,1.93,37,0,1,2,88.0,0
152,0.789,50,0.8,-0.011,52.6,2.24,25,0,2,2,86.0,0
153,0.784,50,0.8,-0.016,55.3,1.98,30,0,3,2,84.0,2
154,0.805,50,0.8,0.005,54.4,2.12,48,0,4,2,82.0,1
155,0.565,35,0.56,0.005,59.7,2.61,43,0,5,2,80.0,0
156,0.79,50,0.8,-0.01,56.0,2.08,40,0,6,2,78.0,1
157,0.631,40,0.64,-0.009,56.4,2.33,32,0,7,2,76.0,1
158,0.645,40,0.64,0.005,53.4,1.96,25,0,8,2,74.0,1
159,0.771,50,0.8,-0.029,53.0,2.09,40,0,9,2,72.0,2
160,0.612,40,0.64,-0.028,53.3,2.45,33,0,10,2,70.0,1
161,0.786,50,0.8,-0.014,56.6,1.97,37,0,11,2,68.0,1
162,0.636,40,0.64,-0.004,53.3,2.46,35,0,12,2,66.0,1
163,0.646,40,0.64,0.006,56.2,2.24,37,0,13,2,64.0,0
164,0.83,50,0.8,0.03,63.3,1.99,49,0,14,2,62.0,0
165,0.817,50,0.8,0.017,58.5,2.23,45,1,0,2,90.0,2
166,0.637,40,0.64,-0.003,53.7,2.29,34,0,1,2,88.0,0
167,0.8,50,0.8,-0.0,59.8,2.22,28,0,2,2,86.0,0
168,0.78,50,0.8,-0.02,53.4,1.79,30,0,3,2,84.0,2
169,0.8,50,0.8,-0.0,46.8,1.95,31,0,4,2,82.0,0
170,0.794,50,0.8,-0.006,51.0,2.05,29,0,5,2,80.0,1
171,0.646,40,0.64,0.006,47.5,2.09,35,0,6,2,78.0,1
172,0.783,50,0.8,-0.017,53.6,2.22,37,0,7,2,76.0,2
173,0.81,50,0.8,0.01,55.1,2.14,49,0,8,2,74.0,0
174,0.831,50,0.8,0.031,61.7,1.83,43,0,9,2,72.0,0
175,0.638,40,0.64,-0.002,56.3,2.18,47,0,10,2,70.0,2
176,0.808,50,0.8,0.008,54.1,2.22,34,0,11,2,68.0,0
177,0.654,40,0.64,0.014,58.3,2.21,34,0,12,2,66.0,1
178,0.792,50,0.8,-0.008,46.2,2.32,35,0,13,2,64.0,2
179,0.564,35,0.56,0.004,55.9,2.27,45,0,14,2,62.0,2
180,0.8,50,0.8,0.0,58.1,2.19,31,1,0,2,90.0,0
181,0.802,50,0.8,0.002,49.1,2.09,42,0,1,2,88.0,0
182,0.785,50,0.8,-0.015,59.6,1.77,28,0,2,2,86.0,0
183,0.56,35,0.56,0.0,56.4,2.19,26,0,3,2,84.0,0
184,0.65,40,0.64,0.01,53.3,2.14,38,0,4,2,82.0,0
185,0.829,50,0.8,0.029,57.5,2.15,37,0,5,2,80.0,0
186,0.659,40,0.64,0.019,64.1,1.84,36,0,6,2,78.0,0
187,0.683,40,0.64,0.043,55.7,1.88,31,0,7,2,76.0,2
188,0.785,50,0.8,-0.015,56.0,2.31,26,0,8,2,74.0,1
189,0.817,50,0.8,0.017,53.2,2.09,37,0,9,2,72.0,1
190,0.804,50,0.8,0.004,51.6,2.24,38,0,10,2,70.0,2
191,0.844,50,0.8,0.044,58.3,2.11,41,0,11,2,68.0,2
192,0.624,40,0.64,-0.016,51.6,2.11,33,0,12,2,66.0,1
193,0.543,35,0.56,-0.017,55.3,2.29,41,0,13,2,64.0,1
194,0.628,40,0.64,-0.012,53.1,2.0,32,0,14,2,62.0,1
195,0.758,50,0.8,-0.042,56.9,2.12,26,1,0,2,90.0,1
196,0.789,50,0.8,-0.011,56.3,2.01,48,0,1,2,88.0,0
197,0.625,40,0.64,-0.015,59.2,2.01,37,0,2,2,86.0,0
198,0.643,40,0.64,0.003,53.0,2.04,27,0,3,2,84.0,2
199,0.647,40,0.64,0.007,53.9,2.14,40,0,4,2,82.0,0
200,0.678,40,0.64,0.038,51.1,2.0,30,0,5,2,80.0,1
201,0.659,40,0.64,0.019,53.2,2.35,43,0,6,2,78.0,1
202,0.788,50,0.8,-0.012,56.5,1.92,31,0,7,2,76.0,1
203,0.782,50,0.8,-0.018,58.0,2.06,34,0,8,2,74.0,0
204,0.65,40,0.64,0.01,51.3,2.01,33,0,9,2,72.0,0
205,0.614,40,0.64,-0.026,58.5,2.39,26,0,10,2,70.0,1
206,0.837,50,0.8,0.037,60.4,2.14,39,0,11,2,68.0,0
207,0.824,50,0.8,0.024,56.7,2.31,29,0,12,2,66.0,0
208,0.631,40,0.64,-0.009,62.5,1.8,46,0,13,2,64.0,1
209,0.766,50,0.8,-0.034,51.9,2.15,28,0,14,2,62.0,0
210,0.827,50,0.8,0.027,50.0,2.28,44,1,0,2,90.0,2
211,0.791,50,0.8,-0.009,57.3,2.1,44,0,1,2,86.0,4
212,0.635,40,0.64,-0.005,57.4,2.24,48,0,2,2,82.0,6
213,0.644,40,0.64,0.004,58.9,2.44,41,0,3,2,78.0,9
214,0.753,50,0.8,-0.047,62.2,2.37,40,0,4,2,74.0,5
215,0.607,40,0.64,-0.033,58.4,2.22,41,0,5,2,70.0,9
216,0.741,50,0.8,-0.059,61.0,2.11,31,0,6,2,66.0,8
217,0.77,50,0.8,-0.03,58.5,2.41,25,0,7,2,62.0,8
218,0.547,40,0.64,-0.093,65.2,2.38,42,0,8,2,58.0,4
219,0.557,40,0.64,-0.083,57.4,2.5,22,0,9,2,54.0,6
220,0.567,40,0.64,-0.073,68.0,2.48,24,0,10,2,50.0,5
221,0.582,40,0.64,-0.058,61.2,2.59,21,0,11,2,46.0,5
222,0.7,50,0.8,-0.1,56.3,2.3,34,0,12,2,42.0,7
223,0.681,50,0.8,-0.119,63.2,2.7,20,0,13,2,38.0,7
224,0.721,50,0.8,-0.079,60.6,2.51,22,0,14,2,34.0,9
225,0.645,50,0.8,-0.155,67.3,2.91,23,0,15,1,30.0,5
226,0.621,50,0.8,-0.179,62.0,2.39,24,0,16,1,26.0,9
227,0.425,35,0.56,-0.135,63.5,2.9,26,0,17,1,22.0,9
228,0.637,50,0.8,-0.163,58.3,2.62,35,1,0,2,90.0,7
229,0.458,40,0.64,-0.182,64.7,2.48,34,0,1,2,86.0,4
230,0.484,40,0.64,-0.156,57.5,2.54,37,0,2,2,82.0,9
231,0.465,40,0.64,-0.175,61.5,2.6,26,0,3,2,78.0,3
232,0.6,50,0.8,-0.2,71.5,2.78,17,0,4,2,74.0,6
233,0.577,50,0.8,-0.223,72.2,2.83,26,0,5,2,70.0,5
234,0.611,50,0.8,-0.189,71.4,2.63,31,0,6,2,66.0,5
235,0.598,50,0.8,-0.202,66.5,2.77,20,0,7,2,62.0,9
236,0.414,40,0.64,-0.226,70.8,3.23,33,0,8,2,58.0,6
237,0.604,50,0.8,-0.196,71.7,3.18,26,0,9,2,54.0,7
238,0.536,50,0.8,-0.264,67.7,2.95,12,0,10,2,50.0,7
239,0.358,40,0.64,-0.282,79.0,2.9,13,0,11,2,46.0,8
240,0.526,50,0.8,-0.274,77.1,2.94,18,0,12,1,42.0,5
241,0.29,35,0.56,-0.27,73.3,3.07,13,0,13,1,38.0,4
242,0.287,35,0.56,-0.273,75.0,2.77,25,0,14,1,34.0,8
243,0.268,35,0.56,-0.292,76.3,2.95,31,0,15,1,30.0,7
244,0.511,50,0.8,-0.289,68.0,2.7,18,0,16,1,26.0,6
245,0.47,50,0.8,-0.33,75.8,3.14,19,0,17,1,22.0,7
246,0.275,35,0.56,-0.285,74.7,3.22,21,0,18,1,18.0,6
247,0.475,50,0.8,-0.325,74.1,3.02,20,0,19,1,14.0,8
248,0.25,35,0.56,-0.31,77.6,3.3,8,0,20,1,10.0,5
249,0.226,35,0.56,-0.334,82.0,2.93,28,0,21,1,6.0,7
250,0.299,40,0.64,-0.341,82.0,2.91,9,0,22,1,2.0,9
